"id","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","taste"
4119,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,"good"
4120,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,"good"
4121,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,"bad"
4122,6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,"average"
4123,6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,"average"
4124,6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,"average"
4125,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,"good"
4126,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,"bad"
4127,6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,"bad"
4128,6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,"bad"
4129,6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,"bad"
4130,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,"good"
4131,6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2,"average"
4132,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,"bad"
4133,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,"bad"
4134,5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,"average"
4135,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,"average"
4136,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,"bad"
4137,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,"average"
4138,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,"bad"
4139,6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,"average"
4140,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,"good"
4141,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,"average"
4142,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,"average"
4143,5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,"average"
4144,6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,"average"
4145,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,"average"
4146,6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,"average"
4147,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,"good"
4148,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,"good"
4149,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,"average"
4150,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,"good"
4151,7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,"bad"
4152,7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5,"average"
4153,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,"average"
4154,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,"bad"
4155,6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,"bad"
4156,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,"bad"
4157,6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,"bad"
4158,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"good"
4159,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"good"
4160,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"good"
4161,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"good"
4162,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"good"
4163,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"good"
4164,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,"bad"
4165,7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,"bad"
4166,6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,"good"
4167,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,"good"
4168,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,"good"
4169,6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,"average"
4170,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,"good"
4171,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"good"
4172,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,"bad"
4173,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,"average"
4174,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,"bad"
4175,6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,"average"
4176,6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,"good"
4177,6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,"average"
4178,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,"average"
4179,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,"good"
4180,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,"bad"
4181,6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,"average"
4182,6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,"average"
4183,7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,"average"
4184,6.2,0.3,0.3,2.5,0.041,29,82,0.99065,3.31,0.61,11.8,"good"
4185,6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,"good"
4186,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,"bad"
4187,7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5,"bad"
4188,5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,"average"
4189,5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,"average"
4190,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,"bad"
4191,7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,"average"
4192,7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,"bad"
4193,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,"average"
4194,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,"average"
4195,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,"average"
4196,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,"good"
4197,5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,"average"
4198,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,"bad"
4199,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,"bad"
4200,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,"average"
4201,8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,"average"
4202,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,"average"
4203,6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,"average"
4204,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,"bad"
4205,6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,"average"
4206,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,"average"
4207,5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,"average"
4208,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,"good"
4209,5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,"average"
4210,6.6,0.23,0.32,1.7,0.024,26,102,0.99084,3.29,0.6,11.8,"average"
4211,6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,"average"
4212,7.1,0.38,0.42,11.8,0.041,32,193,0.99624,3.04,0.49,10,"average"
4213,6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,"bad"
4214,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,"bad"
4215,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,"bad"
4216,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,"bad"
4217,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,"bad"
4218,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,"bad"
4219,8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,"average"
4220,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,"bad"
4221,6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,"average"
4222,6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,"average"
4223,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,"bad"
4224,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,"bad"
4225,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,"good"
4226,6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,"bad"
4227,5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,"good"
4228,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,"good"
4229,6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,"average"
4230,6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,"average"
4231,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,"average"
4232,7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,"average"
4233,6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,"average"
4234,6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,"average"
4235,6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,"average"
4236,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,"bad"
4237,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,"bad"
4238,7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,"bad"
4239,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,"bad"
4240,5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,"good"
4241,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,"average"
4242,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,"average"
4243,5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,"good"
4244,6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,"average"
4245,7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,"bad"
4246,7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,"bad"
4247,5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,"average"
4248,6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,"average"
4249,5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,"average"
4250,5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,"average"
4251,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,"average"
4252,7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,"average"
4253,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,"average"
4254,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,"bad"
4255,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,"bad"
4256,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,"bad"
4257,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,"bad"
4258,5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,"bad"
4259,5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,"average"
4260,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,"average"
4261,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,"average"
4262,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,"good"
4263,6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,"average"
4264,7,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2,"average"
4265,5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,"average"
4266,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,"average"
4267,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,"good"
4268,6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,"good"
4269,5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,"average"
4270,7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,"bad"
4271,6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,"average"
4272,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4,"bad"
4273,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"average"
4274,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"average"
4275,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"average"
4276,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"average"
4277,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,"good"
4278,7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,"bad"
4279,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,"bad"
4280,6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,"average"
4281,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"average"
4282,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,"bad"
4283,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,"bad"
4284,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,"average"
4285,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,"average"
4286,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,"average"
4287,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,"average"
4288,7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,"bad"
4289,7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,"average"
4290,6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,"average"
4291,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,"bad"
4292,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,"bad"
4293,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,"average"
4294,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,"bad"
4295,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,"bad"
4296,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,"bad"
4297,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,"average"
4298,7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,"average"
4299,5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,"average"
4300,6.3,0.28,0.3,6.6,0.208,60,154,0.99478,3.1,0.4,9.4,"average"
4301,6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,"bad"
4302,7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,"bad"
4303,7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,"average"
4304,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,"average"
4305,6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,"average"
4306,5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,"average"
4307,6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,"average"
4308,6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,"good"
4309,6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,"average"
4310,6.6,0.34,0.25,4.8,0.038,16,121,0.99198,3.36,0.71,12.6,"average"
4311,5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,"average"
4312,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,"bad"
4313,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,"average"
4314,6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,"average"
4315,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,"good"
4316,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333333,"good"
4317,7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,"bad"
4318,6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,"good"
4319,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,"good"
4320,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333333,"good"
4321,6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,"bad"
4322,6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,"average"
4323,7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,"good"
4324,8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.4666666666667,"average"
4325,5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,"average"
4326,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,"bad"
4327,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,"bad"
4328,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,"bad"
4329,6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,"bad"
4330,6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,"bad"
4331,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,"bad"
4332,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,"bad"
4333,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4334,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4335,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4336,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4337,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4338,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4339,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4340,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,"good"
4341,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"good"
4342,7.4,0.27,0.52,15.7,0.054,36,139,0.99788,3.04,0.62,10.0333333333333,"average"
4343,5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,"average"
4344,5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,"average"
4345,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,"average"
4346,7.1,0.2,0.35,3.2,0.034,21,107,0.99195,3.11,0.54,11.1,"average"
4347,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,"average"
4348,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,"good"
4349,7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,"average"
4350,7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,"bad"
4351,7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,"average"
4352,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,"average"
4353,7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,"bad"
4354,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.4333333333333,"average"
4355,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,"average"
4356,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,"average"
4357,6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.5333333333333,"bad"
4358,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,"average"
4359,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.53333333333333,"bad"
4360,7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,"average"
4361,7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,"bad"
4362,6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12,"average"
4363,6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,"average"
4364,7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,"bad"
4365,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.9333333333333,"average"
4366,6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,"bad"
4367,5.9,0.29,0.28,3.2,0.035,16,117,0.98959,3.26,0.42,12.6,"average"
4368,7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,"bad"
4369,6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,"average"
4370,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.9333333333333,"average"
4371,6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,"bad"
4372,7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,"bad"
4373,7.1,0.23,0.23,3.5,0.038,23,112,0.99157,3.05,0.37,11.3666666666667,"average"
4374,6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,"average"
4375,6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5,"bad"
4376,6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,"average"
4377,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,"bad"
4378,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,"average"
4379,6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8,"bad"
4380,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,"bad"
4381,5.7,0.31,0.29,7.3,0.05,33,143,0.99332,3.31,0.5,11.0666666666667,"average"
4382,6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,"average"
4383,7,0.24,0.26,1.7,0.041,31,110,0.99142,3.2,0.53,11,"average"
4384,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,"average"
4385,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,"bad"
4386,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,"bad"
4387,6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,"average"
4388,7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,"average"
4389,6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,"average"
4390,6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,"bad"
4391,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,"bad"
4392,7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,"bad"
4393,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,"bad"
4394,6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,"average"
4395,6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,"average"
4396,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,"bad"
4397,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"bad"
4398,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"bad"
4399,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"bad"
4400,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,"bad"
4401,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"bad"
4402,7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,"average"
4403,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,"average"
4404,5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,"bad"
4405,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,"bad"
4406,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,"bad"
4407,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,"good"
4408,6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,"average"
